,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.4459846694528721,,Intercept,343.33521327730347,343.0,-0.33521327730346684,343.0
1,1,grade:A,0.9440512910187209,4.229369466419833e-25,grade,80.26814797788106,80.0,-0.26814797788105693,80.0
2,2,grade:B,0.7321437467285247,1.4409789185745474e-32,grade,62.25066705863982,62.0,-0.2506670586398201,62.0
3,3,grade:C,0.5490438537471417,7.371959002215951e-22,grade,46.682562396970134,47.0,0.317437603029866,47.0
4,4,grade:D,0.3733791009628368,5.6374679613576606e-12,grade,31.74663200300506,32.0,0.25336799699493895,32.0
5,5,grade:E,0.21952019115450436,5.131962975517587e-06,grade,18.66474772648033,19.0,0.33525227351967146,19.0
6,6,grade:F,0.04987318925342833,0.3185216698378702,grade,4.2404777931114195,4.0,-0.24047779311141948,4.0
7,7,home_ownership:OWN,0.09625554944359513,1.8358728684737099e-06,home_ownership,8.184147153798579,8.0,-0.1841471537985786,8.0
8,8,home_ownership:MORTGAGE,0.10509490118498867,9.2235987588992e-17,home_ownership,8.935714786147326,9.0,0.06428521385267416,9.0
9,9,addr_state:NM_VA,0.04442614222949703,0.1648468322071298,addr_state,3.7773415411736804,4.0,0.22265845882631963,4.0
10,10,addr_state:NY,0.06940638737196882,0.004138647171679684,addr_state,5.901291831476188,6.0,0.09870816852381203,6.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.06668149147531031,0.00391936165920807,addr_state,5.6696070182270235,6.0,0.3303929817729765,6.0
12,12,addr_state:CA,0.07325838621739683,0.0005360600078234497,addr_state,6.22880879615487,6.0,-0.22880879615486993,6.0
13,13,addr_state:UT_KY_AZ_NJ,0.08841214358494051,0.00038093301140243647,addr_state,7.517260017365881,8.0,0.48273998263411944,8.0
14,14,addr_state:AR_MI_PA_OH_MN,0.14571194614105362,9.345431828287948e-11,addr_state,12.389187077297466,12.0,-0.38918707729746593,12.0
15,15,addr_state:RI_MA_DE_SD_IN,0.1134707999708507,0.00014298239498830036,addr_state,9.647877239170226,10.0,0.3521227608297739,10.0
16,16,addr_state:GA_WA_OR,0.1962557646019511,1.782790320997936e-13,addr_state,16.686685251584716,17.0,0.3133147484152836,17.0
17,17,addr_state:WI_MT,0.24345301739701697,2.9408000787810023e-07,addr_state,20.699641017383968,21.0,0.3003589826160322,21.0
18,18,addr_state:TX,0.23228867710608453,3.5886078284892953e-19,addr_state,19.75039077317217,20.0,0.24960922682782893,20.0
19,19,addr_state:IL_CT,0.2717774190016625,1.2634753801229127e-20,addr_state,23.10792887315635,23.0,-0.10792887315635014,23.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.33368038679819173,2.910328351854247e-27,addr_state,28.371240969260754,28.0,-0.3712409692607537,28.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5006467242795241,1.798297458167797e-21,addr_state,42.567586879464734,43.0,0.4324131205352657,43.0
22,22,verification_status:Not Verified,0.08035818976426448,3.6220180528648556e-08,verification_status,6.832470998765594,7.0,0.1675290012344064,7.0
23,23,verification_status:Source Verified,-0.013063454218741305,0.3307870519290548,verification_status,-1.1107227820224523,-1.0,0.11072278202245234,-1.0
24,24,purpose:credit_card,0.2830076543972126,2.067570140636995e-23,purpose,24.062781861688066,24.0,-0.06278186168806599,24.0
25,25,purpose:debt_consolidation,0.17775272746003867,1.0122152321747783e-11,purpose,15.113460854269842,15.0,-0.11346085426984232,15.0
26,26,purpose:oth__med__vacation,0.18840668843630756,1.518854127049142e-09,purpose,16.01931599617734,16.0,-0.019315996177340367,16.0
27,27,purpose:major_purch__car__home_impr,0.24211021232202337,1.0197269520394911e-14,purpose,20.58546874995481,21.0,0.4145312500451901,21.0
28,28,initial_list_status:w,0.049503464347844923,0.0001495692880289976,initial_list_status,4.209041859794224,4.0,-0.2090418597942243,4.0
29,29,term:36,0.08081371517413141,7.416942549641833e-09,term,6.871202136951345,7.0,0.12879786304865526,7.0
30,30,emp_length:1,0.10907917757447327,2.6182367106235325e-05,emp_length,9.274478675205538,9.0,-0.2744786752055379,9.0
31,31,emp_length:2-4,0.13338318722286935,1.5127583145665758e-12,emp_length,11.340931908703228,11.0,-0.34093190870322765,11.0
32,32,emp_length:5-6,0.10012777861395723,2.8531519371821406e-06,emp_length,8.513384205861177,9.0,0.4866157941388227,9.0
33,33,emp_length:7-9,0.06712796497684069,0.0012351427983522778,emp_length,5.707568516113828,6.0,0.2924314838861717,6.0
34,34,emp_length:10,0.1301789957675944,1.5633827287092516e-12,emp_length,11.068494895663466,11.0,-0.06849489566346634,11.0
35,35,mths_since_issue_d:<38,1.1336859337772291,9.981813963057142e-203,mths_since_issue_d,96.3918710334864,96.0,-0.39187103348639596,96.0
36,36,mths_since_issue_d:38-39,0.9441399847146917,1.0634778507242795e-176,mths_since_issue_d,80.27568917694578,80.0,-0.2756891769457752,80.0
37,37,mths_since_issue_d:40-41,0.8441107039886444,2.7147302185969983e-149,mths_since_issue_d,71.77067977351057,72.0,0.22932022648943473,72.0
38,38,mths_since_issue_d:42-48,0.6521197587091805,5.534130103266342e-115,mths_since_issue_d,55.44661162942107,55.0,-0.4466116294210707,55.0
39,39,mths_since_issue_d:49-52,0.48859999527168585,3.162986561939157e-57,mths_since_issue_d,41.543311359850605,42.0,0.4566886401493946,42.0
40,40,mths_since_issue_d:53-64,0.24354043962417016,2.5225857656601467e-17,mths_since_issue_d,20.707074109560683,21.0,0.29292589043931727,21.0
